iter	Passed	Remaining
0	14	14703
1	20	10409
2	26	8859
3	33	8411
4	41	8267
5	48	8028
6	55	7894
7	62	7749
8	69	7663
9	78	7769
10	85	7681
11	92	7644
12	100	7646
13	106	7477
14	113	7423
15	120	7391
16	127	7354
17	134	7341
18	142	7356
19	150	7364
20	159	7427
21	164	7307
22	173	7373
23	181	7364
24	189	7384
25	196	7371
26	205	7390
27	211	7325
28	218	7325
29	222	7207
30	230	7215
31	238	7201
32	245	7187
33	253	7198
34	261	7197
35	268	7202
36	276	7206
37	284	7196
38	291	7173
39	298	7168
40	307	7184
41	315	7186
42	322	7176
43	330	7189
44	337	7160
45	345	7172
46	354	7178
47	361	7169
48	368	7145
49	375	7139
50	383	7136
51	391	7140
52	400	7150
53	408	7149
54	415	7144
55	423	7135
56	430	7129
57	438	7124
58	446	7125
59	454	7118
60	461	7105
61	469	7106
62	477	7097
63	485	7093
64	492	7085
65	500	7083
66	508	7081
67	515	7069
68	523	7060
69	531	7057
70	539	7054
71	546	7043
72	554	7040
73	562	7036
74	569	7023
75	576	7008
76	584	7002
77	591	6991
78	599	6988
79	606	6977
80	615	6979
81	623	6981
82	630	6970
83	638	6958
84	645	6952
85	653	6941
86	661	6940
87	668	6931
88	676	6925
89	684	6916
90	692	6917
91	699	6907
92	707	6900
93	715	6897
94	723	6891
95	731	6883
96	738	6878
97	746	6869
98	753	6860
99	761	6850
100	768	6839
101	776	6834
102	784	6828
103	792	6826
104	799	6818
105	808	6816
106	815	6808
107	824	6807
108	832	6805
109	840	6803
110	848	6799
111	855	6786
112	863	6777
113	870	6766
114	878	6763
115	886	6757
116	895	6756
117	907	6785
118	915	6779
119	925	6785
120	932	6770
121	939	6759
122	946	6751
123	953	6739
124	961	6733
125	968	6721
126	976	6710
127	983	6702
128	991	6697
129	999	6691
130	1007	6682
131	1014	6672
132	1023	6669
133	1030	6661
134	1037	6648
135	1045	6639
136	1052	6632
137	1060	6623
138	1067	6613
139	1074	6597
140	1081	6589
141	1090	6586
142	1095	6564
143	1102	6555
144	1110	6546
145	1117	6536
146	1125	6531
147	1132	6522
148	1141	6520
149	1149	6512
150	1156	6504
151	1163	6490
152	1171	6487
153	1179	6478
154	1187	6473
155	1195	6469
156	1204	6467
157	1212	6462
158	1220	6456
159	1229	6453
160	1236	6442
161	1244	6437
162	1251	6427
163	1260	6423
164	1267	6413
165	1274	6403
166	1283	6401
167	1290	6391
168	1297	6381
169	1306	6376
170	1314	6374
171	1322	6366
172	1329	6355
173	1337	6348
174	1344	6340
175	1352	6332
176	1359	6320
177	1366	6309
178	1373	6301
179	1382	6298
180	1390	6290
181	1397	6279
182	1404	6270
183	1412	6264
184	1419	6255
185	1428	6252
186	1435	6241
187	1444	6237
188	1451	6227
189	1459	6223
190	1467	6217
191	1476	6211
192	1483	6203
193	1491	6194
194	1498	6186
195	1507	6183
196	1514	6174
197	1522	6166
198	1529	6156
199	1538	6153
200	1546	6145
201	1553	6137
202	1560	6127
203	1568	6118
204	1575	6108
205	1582	6101
206	1590	6093
207	1599	6091
208	1606	6080
209	1614	6074
210	1621	6064
211	1630	6059
212	1637	6050
213	1645	6044
214	1653	6035
215	1662	6034
216	1669	6025
217	1677	6018
218	1685	6009
219	1693	6005
220	1701	5995
221	1709	5992
222	1717	5983
223	1724	5974
224	1731	5965
225	1740	5962
226	1748	5954
227	1757	5949
228	1764	5942
229	1772	5932
230	1779	5924
231	1786	5915
232	1794	5906
233	1801	5898
234	1809	5890
235	1817	5884
236	1825	5875
237	1832	5868
238	1840	5858
239	1847	5851
240	1855	5844
241	1863	5837
242	1871	5829
243	1879	5822
244	1886	5813
245	1895	5809
246	1902	5800
247	1910	5793
248	1917	5784
249	1925	5775
250	1932	5765
251	1940	5759
252	1948	5752
253	1956	5744
254	1963	5737
255	1971	5730
256	1978	5720
257	1986	5713
258	1993	5703
259	2001	5696
260	2008	5687
261	2017	5681
262	2025	5675
263	2033	5669
264	2041	5661
265	2048	5653
266	2056	5645
267	2065	5640
268	2072	5631
269	2080	5623
270	2087	5614
271	2095	5607
272	2102	5598
273	2110	5592
274	2118	5584
275	2126	5577
276	2133	5568
277	2141	5562
278	2149	5554
279	2157	5546
280	2164	5538
281	2172	5532
282	2180	5525
283	2189	5519
284	2196	5510
285	2203	5501
286	2211	5493
287	2219	5486
288	2226	5478
289	2234	5471
290	2242	5462
291	2250	5456
292	2257	5447
293	2265	5440
294	2272	5431
295	2280	5422
296	2287	5414
297	2295	5408
298	2303	5400
299	2311	5392
300	2318	5384
301	2326	5376
302	2334	5369
303	2341	5359
304	2348	5352
305	2356	5344
306	2364	5337
307	2372	5329
308	2379	5321
309	2387	5313
310	2394	5303
311	2403	5299
312	2411	5291
313	2419	5285
314	2427	5278
315	2435	5271
316	2442	5263
317	2450	5255
318	2457	5246
319	2466	5240
320	2473	5232
321	2480	5223
322	2488	5215
323	2495	5207
324	2505	5204
325	2515	5199
326	2525	5196
327	2532	5188
328	2539	5179
329	2547	5171
330	2556	5166
331	2563	5157
332	2570	5148
333	2577	5140
334	2585	5132
335	2592	5122
336	2600	5116
337	2608	5108
338	2615	5100
339	2623	5092
340	2631	5086
341	2639	5078
342	2646	5069
343	2654	5061
344	2661	5053
345	2668	5044
346	2678	5039
347	2685	5032
348	2694	5026
349	2701	5017
350	2709	5009
351	2716	5001
352	2724	4993
353	2731	4985
354	2739	4976
355	2746	4968
356	2754	4961
357	2762	4953
358	2771	4948
359	2778	4939
360	2787	4933
361	2794	4924
362	2802	4917
363	2809	4908
364	2818	4902
365	2824	4893
366	2832	4885
367	2839	4877
368	2848	4870
369	2855	4862
370	2863	4854
371	2870	4845
372	2879	4839
373	2887	4832
374	2896	4827
375	2902	4817
376	2910	4808
377	2917	4800
378	2925	4793
379	2932	4785
380	2940	4777
381	2947	4769
382	2956	4762
383	2963	4754
384	2972	4747
385	2979	4739
386	2987	4732
387	2995	4724
388	3004	4718
389	3011	4710
390	3018	4701
391	3025	4692
392	3033	4684
393	3040	4676
394	3048	4668
395	3055	4660
396	3064	4655
397	3072	4648
398	3080	4640
399	3087	4631
400	3094	4622
401	3101	4614
402	3109	4605
403	3116	4597
404	3124	4589
405	3131	4582
406	3139	4574
407	3146	4565
408	3156	4560
409	3163	4552
410	3171	4545
411	3179	4538
412	3187	4529
413	3194	4521
414	3202	4514
415	3209	4505
416	3217	4498
417	3224	4489
418	3231	4481
419	3238	4472
420	3246	4464
421	3253	4456
422	3261	4448
423	3268	4440
424	3278	4435
425	3285	4427
426	3292	4418
427	3298	4408
428	3305	4400
429	3314	4393
430	3323	4387
431	3330	4379
432	3339	4373
433	3347	4365
434	3355	4358
435	3363	4350
436	3372	4344
437	3381	4338
438	3389	4331
439	3397	4324
440	3406	4317
441	3413	4309
442	3421	4301
443	3428	4293
444	3436	4286
445	3444	4278
446	3452	4271
447	3461	4264
448	3468	4257
449	3476	4249
450	3484	4241
451	3492	4234
452	3500	4226
453	3508	4220
454	3516	4211
455	3523	4203
456	3531	4195
457	3538	4188
458	3546	4180
459	3553	4171
460	3561	4163
461	3569	4156
462	3577	4149
463	3585	4141
464	3592	4133
465	3600	4125
466	3607	4117
467	3616	4111
468	3623	4102
469	3632	4096
470	3639	4087
471	3648	4080
472	3655	4072
473	3663	4065
474	3671	4057
475	3679	4050
476	3688	4044
477	3696	4036
478	3703	4028
479	3712	4021
480	3720	4014
481	3728	4006
482	3737	4000
483	3744	3992
484	3751	3984
485	3759	3975
486	3767	3969
487	3775	3960
488	3783	3954
489	3791	3945
490	3798	3938
491	3805	3929
492	3813	3921
493	3820	3913
494	3828	3905
495	3836	3898
496	3844	3890
497	3851	3882
498	3859	3875
499	3867	3867
500	3874	3859
501	3881	3850
502	3888	3842
503	3896	3834
504	3905	3828
505	3912	3820
506	3920	3812
507	3927	3804
508	3936	3796
509	3942	3788
510	3950	3780
511	3957	3772
512	3965	3764
513	3972	3756
514	3979	3747
515	3986	3739
516	3994	3731
517	4001	3723
518	4008	3715
519	4015	3706
520	4023	3698
521	4032	3692
522	4040	3685
523	4048	3677
524	4056	3670
525	4063	3662
526	4072	3654
527	4079	3647
528	4086	3638
529	4094	3631
530	4102	3623
531	4110	3615
